沙门氏菌病	食物中毒
铌钽铁矿	矿质
隐肛狸属	麝猫
狂烈	风暴度
灰笛鲷	笛鲷鱼
蜒螺属	蜒螺
白脸黑猩猩	黑猩猩
鸟笛	音响设备
玻璃化	自然过程
零花钱	硬通货
欠条	期票
熔罐	容器
条纹棉布	衣料
污秽	废物
队列	排队
川续断科	海盘车单子叶植物科
金蛛科	节肢动物科
单词的第一个字母	文字字符
腰链	链条
流行性出血热	病毒感染
马鞍菌	鹿花蕈
花炮	低级炸药
麻痹性步行不能	步行不能
大头盔	防护帽
麦基诺厚毛毯	毯子
急性骨髓性白血病	急性骨髓性白血病
急性骨髓性白血病	急性白血病
迁入	迁移
克瑞	重量单位
胆盐	盐
单纯恐怖症	恐惧症
通大便	通便
十亿分之一	分数
无刺小黑莓	龙船泡
静脉曲张	反常
奴隶身份	隶属
饥饿状态	饥饿
加入	联系
窒息空气	碳酸气
裁决者	能手
椭斑马鲛	西班牙鲛鱼
升	公制容量单位
暴力	敌对行动
苯坐卡因	局部麻醉剂
丁螺环酮	抗焦虑药
房屋	结构
大口仿石鲈	石鲈
黑穗病	植物病
黄皮	水生植物
颊	面部轮廓
毛囊炎	炎症
心脏紊乱	心血管疾病
烛煤	软煤
毫瓦	电力单位
照相雕刻术	雕版
脱离部落化	分裂
狮子狗	狗
氟磷酸钙	磷灰石
海角樱草	花
狗蛇头菌	臭角菌
财产税	资本税
甜菜夜蛾属	节肢动物属
达尔文郁金香	郁香
长柄细枝扫帚	扫把
酶联免疫吸附测定	测定
量管	仪表
锦缎	衣料
镜铁	生铁
五分之一	分数
缺乏生气	疲劳
男修道院	修道院
实夜蛾	夜蛾
书房	房间
调节	和平
子夜	点钟
脑膨出	生理缺陷
集中数据处理	自动数据处理
纸盒	箱子
钩端螺旋体病	动物病
横梁	支柱
墨天牛属	节肢动物属
边部或侧面	子图形
绿玉髓	玉髓
自然选择	自然过程
压力单位	压力单位
黑翻石鹬	鸟类的一种
红花缬草	花
阻滞剂	药物
西谷椰子	西谷椰子
野蘑菇	伞菌
灰毛豆	矮灌木
